caption,head,name,tokenized,indexed
"홍길동 ""조연상 이어 주연상, 올라갈 곳이 없다"" 농담",bluedragon,bluedragon25.jpg,"홍길동 "" 조연상 이 어 주 연상 , 올라갈 곳 이 없 다 "" 농담",2 6 50 12 83 47 44 4 84 0 12 85 68 6 0
"홍길동-홍길동-홍길동-홍길동-홍길동-홍길동, 청룡을 빛낸 영광의 얼굴들",bluedragon,bluedragon26.jpg,"홍길동 - 홍길동 - 홍길동 - 홍길동 - 홍길동 - 홍길동 , 청룡 을 빛낸 영광 의 얼굴 들",2 5 2 5 2 5 2 5 2 5 2 4 7 27 0 25 8 51 14
"홍길동 ""상 부끄럽지 않게, 나를 던지는 배우될 것""",bluedragon,bluedragon27.jpg,"홍길동 "" 상 부끄럽 지 않 게 , 나 를 던지 는 배우 될 것 """,2 6 18 86 42 87 76 4 0 0 0 11 19 0 52 6
"홍길동-홍길동, '작년 영화계의 최고 히로인들'",bluedragon,bluedragon28.jpg,"홍길동 - 홍길동 , ' 작년 영화 계 의 최고 히로 인 들 '",2 5 2 4 3 0 30 0 8 88 0 38 14 3
"홍길동, 영광의 사인!",bluedragon,bluedragon29.jpg,"홍길동 , 영광 의 사인 !",2 4 25 8 20 13
홍길동 '믿고 보는 배우',bluedragon,bluedragon30.jpg,홍길동 ' 믿 고 보 는 배우 ',2 3 0 53 75 11 19 3
"홍길동 ""오늘의 기록이 부끄럽지 않도록 열심히 연기할 것""",bluedragon,bluedragon31.jpg,"홍길동 "" 오늘 의 기록 이 부끄럽 지 않 도록 열심히 연기 할 것 """,2 6 54 8 0 12 86 42 87 0 0 0 89 52 6
"홍길동, 사인도 너무 귀여워!",bluedragon,bluedragon32.jpg,"홍길동 , 사인 도 너무 귀여워 !",2 4 20 17 0 0 13
"홍길동-홍길동, '수줍은 발걸음'",bluedragon,bluedragon33.jpg,"홍길동 - 홍길동 , ' 수줍 은 발걸음 '",2 5 2 4 3 0 21 0 3
홍길동 '정직한 사인',bluedragon,bluedragon34.jpg,홍길동 ' 정직 한 사인 ',2 3 0 9 20 3
홍길동 '해맑은 미소',bluedragon,bluedragon35.jpg,홍길동 ' 해맑 은 미소 ',2 3 0 21 16 3
"홍길동-홍길동-홍길동-홍길동-홍길동-홍길동, 사인들고 찰칵!",bluedragon,bluedragon36.jpg,"홍길동 - 홍길동 - 홍길동 - 홍길동 - 홍길동 - 홍길동 , 사인 들 고 찰칵 !",2 5 2 5 2 5 2 5 2 5 2 4 20 14 53 0 13
"홍길동, 심사위원 만홍길동치..'최고의 칭찬'",bluedragon,bluedragon37.jpg,"홍길동 , 심사 위원 만 홍길동 치 . .' 최고 의 칭찬 '",2 4 0 0 31 2 0 90 0 88 8 0 3
홍길동 '사인도 예쁘죠?',bluedragon,bluedragon38.jpg,홍길동 ' 사인 도 예쁘 죠 ? ',2 3 20 17 0 91 28 3
"홍길동-홍길동, '즐거운 케미'",bluedragon,bluedragon39.jpg,"홍길동 - 홍길동 , ' 즐거운 케미 '",2 5 2 4 3 0 0 3
"홍길동, 사인도 멋있죠!",bluedragon,bluedragon40.jpg,"홍길동 , 사인 도 멋있 죠 !",2 4 20 17 0 91 13
홍길동 '초롱초롱',bluedragon,bluedragon41.jpg,홍길동 ' 초롱초롱 ',2 3 0 3
"'청룡영화상' 홍길동 ""주연상? 크리스토퍼 놀란 감독과 받고파""",bluedragon,bluedragon42.jpg,"' 청룡 영화상 ' 홍길동 "" 주연 상 ? 크리스토퍼 놀란 감독 과 받 고파 """,3 7 10 3 2 6 35 18 28 74 45 46 79 55 0 6
"홍길동, 핸드프린팅 기념해야지~",bluedragon,bluedragon43.jpg,"홍길동 , 핸드 프린팅 기념 해야지 ~",2 4 23 24 0 0 0
"홍길동, ""한국어 서툴지만 노력할 것""",bluedragon,bluedragon44.jpg,"홍길동 , "" 한국어 서툴 지만 노력 할 것 """,2 4 6 0 0 0 0 89 52 6
홍길동-홍길동 '눈빛으로 말해요',bluedragon,bluedragon45.jpg,홍길동 - 홍길동 ' 눈빛 으로 말해요 ',2 5 2 3 92 41 0 3
"홍길동, '소리도 없이' 터진 웃음",bluedragon,bluedragon46.jpg,"홍길동 , ' 소리 도 없이 ' 터진 웃음",2 4 3 0 17 0 3 0 56
홍길동 '홍초 마신 홍길동 표정에 웃음이 빵',bluedragon,bluedragon47.jpg,홍길동 ' 홍초 마신 홍길동 표정 에 웃음 이 빵 ',2 3 0 0 2 93 32 56 12 0 3
"홍길동, 시큼한 음료마시고 '솔직한 표정'",bluedragon,bluedragon48.jpg,"홍길동 , 시큼 한 음료 마시 고 ' 솔직 한 표정 '",2 4 0 9 0 0 53 3 0 9 93 3
"홍길동, 강렬한 레드!",bluedragon,bluedragon49.jpg,"홍길동 , 강렬 한 레드 !",2 4 0 9 0 13
"홍길동, 남우조연상 수상 '여전한 감흥'",bluedragon,bluedragon50.jpg,"홍길동 , 남우 조연상 수상 ' 여전 한 감흥 '",2 4 77 50 81 3 63 9 0 3
홍길동 '미소에 반한다',bluedragon,bluedragon51.jpg,홍길동 ' 미소 에 반 한다 ',2 3 16 32 94 0 3
"홍길동 ""이제 더 올라갈 데 없어…작품상 받아야 하나"" 웃음",bluedragon,bluedragon52.jpg,"홍길동 "" 이제 더 올라갈 데 없 어 … 작품상 받 아야 하나 "" 웃음",2 6 0 95 84 0 85 83 78 0 55 0 0 6 56
"홍길동, ""또 상을 받을 날이 올까요?""",bluedragon,bluedragon53.jpg,"홍길동 , "" 또 상 을 받 을 날 이 올까요 ? """,2 4 6 0 18 27 55 27 0 12 0 28 6
제42회 청룡영화상 핸드프린팅을 위해 모인 배우들,bluedragon,bluedragon54.jpg,제 42 회 청룡 영화상 핸드 프린팅 을 위해 모인 배우 들,57 39 58 7 10 23 24 27 0 0 19 14
"홍길동, 언제나 눈부신 턱시도",bluedragon,bluedragon55.jpg,"홍길동 , 언제나 눈부신 턱시도",2 4 0 15 96
"홍길동, 오늘도 눈부신 모습",bluedragon,bluedragon56.jpg,"홍길동 , 오늘 도 눈부신 모습",2 4 54 17 15 0
"홍길동, 눈부신 미모로 아이컨택",bluedragon,bluedragon57.jpg,"홍길동 , 눈부신 미모 로 아이 컨 택",2 4 15 29 22 0 0 0
홍길동 '긴장되네요',bluedragon,bluedragon58.jpg,홍길동 ' 긴장 되 네요 ',2 3 0 0 0 3
"홍길동-홍길동-홍길동-홍길동-홍길동-홍길동,'자랑스런 청룡영화상 얼굴들'",bluedragon,bluedragon59.jpg,"홍길동 - 홍길동 - 홍길동 - 홍길동 - 홍길동 - 홍길동 , ' 자랑 스런 청룡 영화상 얼굴 들 '",2 5 2 5 2 5 2 5 2 5 2 4 3 0 0 7 10 51 14 3
홍길동 '우아한 미소',bluedragon,bluedragon60.jpg,홍길동 ' 우아 한 미소 ',2 3 26 9 16 3
홍길동 '깊은 눈빛',bluedragon,bluedragon61.jpg,홍길동 ' 깊 은 눈빛 ',2 3 0 21 92 3
홍길동 ‘단아한 아름다움’,bluedragon,bluedragon62.jpg,홍길동 ‘ 단아 한 아름다움 ’,2 61 0 9 59 62
"홍길동, 턱시도의 정석!",bluedragon,bluedragon63.jpg,"홍길동 , 턱시도 의 정석 !",2 4 96 8 0 13
제42회 청룡영화상 핸드프린팅 행사 개최,bluedragon,bluedragon64.jpg,제 42 회 청룡 영화상 핸드 프린팅 행사 개최,57 39 58 7 10 23 24 0 0
홍길동만이 소화 가능한 수트,bluedragon,bluedragon65.jpg,홍길동 만 이 소화 가능 한 수트,2 31 12 0 0 9 97
"홍길동, 우아함의 극치",bluedragon,bluedragon66.jpg,"홍길동 , 우아 함 의 극치",2 4 26 48 8 0
"홍길동, 눈부신 블랙수트로 손인사",bluedragon,bluedragon67.jpg,"홍길동 , 눈부신 블랙 수트 로 손 인사",2 4 15 98 97 22 65 0
"홍길동, 눈부신 아우라",bluedragon,bluedragon68.jpg,"홍길동 , 눈부신 아우라",2 4 15 0
"홍길동 아나운서, 청룡영화상 빛내는 미모",bluedragon,bluedragon69.jpg,"홍길동 아나운서 , 청룡 영화상 빛내 는 미모",2 0 4 7 10 0 11 29
청룡영화상 시상식 붉은빛 우아함을 발산한 홍길동,bluedragon,bluedragon70.jpg,청룡 영화상 시상식 붉 은 빛 우아 함 을 발산 한 홍길동,7 10 0 0 21 0 26 48 27 0 9 2
홍길동 '눈길을 사로 잡는 올블랙 드레스',bluedragon,bluedragon71.jpg,홍길동 ' 눈길 을 사 로 잡 는 올 블랙 드레스 ',2 3 0 27 0 22 0 11 0 98 60 3
홍길동 '청룡영화상 시작합니다',bluedragon,bluedragon72.jpg,홍길동 ' 청룡 영화상 시작 합니다 ',2 3 7 10 0 0 3
홍길동-홍길동-홍길동 '청룡영화상 수놓은 아름다움',bluedragon,bluedragon73.jpg,홍길동 - 홍길동 - 홍길동 ' 청룡 영화상 수놓 은 아름다움 ',2 5 2 5 2 3 7 10 0 21 59 3
홍길동-홍길동-홍길동 '신사의 품격이 빛난 레드카펫',bluedragon,bluedragon74.jpg,홍길동 - 홍길동 - 홍길동 ' 신사 의 품격 이 빛난 레드카 펫 ',2 5 2 5 2 3 0 8 0 12 0 33 34 3
"홍길동-홍길동, '주연상 영예'",bluedragon,bluedragon75.jpg,"홍길동 - 홍길동 , ' 주연 상 영예 '",2 5 2 4 3 35 18 0 3
홍길동 '눈부신 자태',bluedragon,bluedragon76.jpg,홍길동 ' 눈부신 자태 ',2 3 15 99 3
제41회 청룡영화상 2020 영광의 얼굴들,bluedragon,bluedragon77.jpg,제 41 회 청룡 영화상 2020 영광 의 얼굴 들,57 0 58 7 10 0 25 8 51 14
청룡영화상 축하공연 펼치는 홍길동,bluedragon,bluedragon78.jpg,청룡 영화상 축하 공연 펼치 는 홍길동,7 10 0 100 0 11 2
홍길동 '훈내 진동',bluedragon,bluedragon79.jpg,홍길동 ' 훈 내 진동 ',2 3 0 0 0 3
"홍길동, '사랑스러운 미소'",bluedragon,bluedragon80.jpg,"홍길동 , ' 사랑 스러운 미소 '",2 4 3 69 0 16 3
"홍길동, 눈부신 화이트 드레스 '점점 더 예뻐지네'",bluedragon,bluedragon81.jpg,"홍길동 , 눈부신 화이트 드레스 ' 점점 더 예뻐 지네 '",2 4 15 0 60 3 0 95 0 0 3
홍길동 '우아한 자태',bluedragon,bluedragon82.jpg,홍길동 ' 우아 한 자태 ',2 3 26 9 99 3
홍길동-홍길동 '삼진그룹 영어토익반의 주역들',bluedragon,bluedragon83.jpg,홍길동 - 홍길동 ' 삼진 그룹 영어 토익 반 의 주역 들 ',2 5 2 3 0 0 0 0 94 8 0 14 3
홍길동 공연 휴대폰으로 찍는 홍길동,bluedragon,bluedragon84.jpg,홍길동 공연 휴대폰 으로 찍 는 홍길동,2 100 0 41 0 11 2
"홍길동, 롱다리 슈트 핏 과시",bluedragon,bluedragon85.jpg,"홍길동 , 롱 다리 슈트 핏 과시",2 4 0 0 0 0 0
청룡영화제 레드카펫 홍길동,bluedragon,bluedragon86.jpg,청룡 영화제 레드카 펫 홍길동,7 0 33 34 2
홍길동 '오늘도 멋짐',bluedragon,bluedragon87.jpg,홍길동 ' 오늘 도 멋 짐 ',2 3 54 17 0 0 3
청룡영화상 신인배우상 홍길동와 홍길동,bluedragon,bluedragon88.jpg,청룡 영화 상 신 인배 우상 홍길동 와 홍길동,7 30 18 101 0 0 2 0 2
"청룡영화상 홍길동, 남산의 부장들로...",bluedragon,bluedragon89.jpg,"청룡 영화상 홍길동 , 남산 의 부장 들 로 . ..",7 10 2 4 0 8 0 14 22 90 0
홍길동-홍길동 '청룡영화상 MC의 빛나는 레드카펫',bluedragon,bluedragon90.jpg,홍길동 - 홍길동 ' 청룡 영화상 MC 의 빛나 는 레드카 펫 ',2 5 2 3 7 10 0 8 49 11 33 34 3
홍길동 '언제 봐도 눈에 띄는 극강미모',bluedragon,bluedragon91.jpg,홍길동 ' 언제 봐도 눈 에 띄 는 극 강 미모 ',2 3 0 0 0 32 0 11 0 0 29 3
"홍길동, 대세남의 근사한 브이",bluedragon,bluedragon92.jpg,"홍길동 , 대세 남 의 근사 한 브이",2 4 0 43 8 0 9 0
"홍길동, 빛나는 미소",bluedragon,bluedragon93.jpg,"홍길동 , 빛나 는 미소",2 4 49 11 16
"배우 홍길동, '각선미 살짝'",bluedragon,bluedragon94.jpg,"배우 홍길동 , ' 각선미 살짝 '",19 2 4 3 0 102 3
"배우 홍길동, '여유있는 포즈'",bluedragon,bluedragon95.jpg,"배우 홍길동 , ' 여유 있 는 포즈 '",19 2 4 3 0 0 11 0 3
"홍길동, 순백의 아름다움",bluedragon,bluedragon96.jpg,"홍길동 , 순백 의 아름다움",2 4 0 8 59
"레드카펫 홍길동, 살짝 트인 드레스",bluedragon,bluedragon97.jpg,"레드카 펫 홍길동 , 살짝 트인 드레스",33 34 2 4 102 0 60
홍길동 '우아한 그녀',bluedragon,bluedragon98.jpg,홍길동 ' 우아 한 그녀 ',2 3 26 9 0 3
홍길동 '화려한 패션',bluedragon,bluedragon99.jpg,홍길동 ' 화려 한 패션 ',2 3 0 9 73 3
"홍길동, 비주얼 남신",bluedragon,bluedragon100.jpg,"홍길동 , 비주얼 남 신",2 4 72 43 101
